iter	Passed	Remaining
1287	7700	1267
1288	7705	1261
1289	7711	1255
1290	7717	1249
1291	7722	1243
1292	7728	1237
1293	7733	1231
1294	7739	1225
1295	7745	1219
1296	7751	1213
1297	7757	1207
1298	7762	1201
1299	7767	1194
1300	7773	1189
1301	7778	1182
1302	7784	1176
1303	7790	1170
1304	7797	1165
1305	7802	1159
1306	7807	1152
1307	7813	1146
1308	7818	1140
1309	7823	1134
1310	7831	1129
1311	7837	1123
1312	7842	1116
1313	7848	1110
1314	7853	1104
1315	7859	1098
1316	7864	1092
1317	7869	1086
1318	7877	1080
1319	7883	1075
1320	7890	1069
1321	7896	1063
1322	7903	1057
1323	7909	1051
1324	7915	1045
1325	7921	1039
1326	7927	1033
1327	7934	1027
1328	7940	1021
1329	7946	1015
1330	7953	1009
1331	7961	1004
1332	7968	998
1333	7974	992
1334	7979	986
1335	7986	980
1336	7991	974
1337	7997	968
1338	8002	962
1339	8010	956
1340	8016	950
1341	8021	944
1342	8028	938
1343	8034	932
1344	8039	926
1345	8045	920
1346	8050	914
1347	8057	908
1348	8064	902
1349	8069	896
1350	8075	890
1351	8081	884
1352	8086	878
1353	8091	872
1354	8097	866
1355	8103	860
1356	8108	854
1357	8114	848
1358	8120	842
1359	8126	836
1360	8131	830
1361	8137	824
1362	8143	818
1363	8148	812
1364	8153	806
1365	8159	800
1366	8165	794
1367	8171	788
1368	8177	782
1369	8183	776
1370	8190	770
1371	8195	764
1372	8201	758
1373	8205	752
1374	8211	746
1375	8216	740
1376	8222	734
1377	8228	728
1378	8235	722
1379	8241	716
1380	8247	710
1381	8253	704
1382	8258	698
1383	8264	692
1384	8269	686
1385	8276	680
1386	8282	674
1387	8287	668
1388	8293	662
1389	8298	656
1390	8306	650
1391	8311	644
1392	8318	638
1393	8324	632
1394	8330	627
1395	8336	621
1396	8342	615
1397	8349	609
1398	8354	603
1399	8360	597
1400	8366	591
1401	8371	585
1402	8377	579
1403	8382	573
1404	8387	567
1405	8393	561
1406	8399	555
1407	8404	549
1408	8410	543
1409	8415	537
1410	8421	531
1411	8429	525
1412	8435	519
1413	8441	513
1414	8447	507
1415	8454	501
1416	8460	495
1417	8466	489
1418	8473	483
1419	8480	477
1420	8486	471
1421	8491	465
1422	8498	459
1423	8504	453
1424	8511	447
1425	8517	442
1426	8523	436
1427	8529	430
1428	8536	424
1429	8541	418
1430	8547	412
1431	8553	406
1432	8558	400
1433	8565	394
1434	8571	388
1435	8576	382
1436	8582	376
1437	8588	370
1438	8595	364
1439	8600	358
1440	8606	352
1441	8611	346
1442	8617	340
1443	8624	334
1444	8632	328
1445	8637	322
1446	8646	316
1447	8653	310
1448	8662	304
1449	8669	298
1450	8676	292
1451	8681	287
1452	8687	281
1453	8693	275
1454	8699	269
1455	8705	263
1456	8711	257
1457	8716	251
1458	8724	245
1459	8730	239
1460	8735	233
1461	8740	227
1462	8746	221
1463	8752	215
1464	8758	209
1465	8764	203
1466	8769	197
1467	8776	191
1468	8782	185
1469	8788	179
1470	8794	173
1471	8800	167
1472	8805	161
1473	8811	155
1474	8818	149
1475	8823	143
1476	8831	137
1477	8836	131
1478	8841	125
1479	8847	119
1480	8853	113
1481	8859	107
1482	8864	101
1483	8870	95
1484	8876	89
1485	8881	83
1486	8888	77
1487	8894	71
1488	8900	65
1489	8906	59
1490	8911	53
1491	8917	47
1492	8925	41
1493	8931	35
1494	8937	29
1495	8942	23
1496	8948	17
1497	8954	11
1498	8961	5
1499	8967	0
