iter	Accuracy	Logloss
447	0.8617912901	0.3170609342
448	0.8619556286	0.3168581108
449	0.8621199671	0.3165919836
450	0.8624486442	0.3164649387
451	0.8622843057	0.3163122736
452	0.8622843057	0.3161391174
453	0.8622843057	0.3160580405
454	0.8626129827	0.3159502333
455	0.8626129827	0.3158082446
456	0.8629416598	0.3155753278
457	0.8627773213	0.3154288137
458	0.8631059984	0.315310641
459	0.8631059984	0.3151725382
460	0.863599014	0.3148401015
461	0.863927691	0.3146552785
462	0.863927691	0.3144518727
463	0.8640920296	0.3143640332
464	0.8637633525	0.3141527896
465	0.8640920296	0.3138656907
466	0.8640920296	0.3137875113
467	0.8642563681	0.3135290355
468	0.8642563681	0.3133765701
469	0.8642563681	0.3133699728
470	0.8642563681	0.3131824727
471	0.8640920296	0.3129616525
472	0.8642563681	0.3128873773
473	0.863927691	0.3126423797
474	0.8640920296	0.3125849434
475	0.8642563681	0.3123668928
476	0.8640920296	0.3122649908
477	0.8640920296	0.3119873495
478	0.8640920296	0.3118521377
479	0.863927691	0.3117589039
480	0.863599014	0.3117089196
481	0.863927691	0.311533972
482	0.8644207067	0.3113041137
483	0.8645850452	0.3111191449
484	0.8647493837	0.3110552601
485	0.8645850452	0.3108637374
486	0.8644207067	0.3106659268
487	0.8644207067	0.3105233705
488	0.8647493837	0.3103140397
489	0.8647493837	0.3101489495
490	0.8647493837	0.3100379297
491	0.8645850452	0.3097784174
492	0.8647493837	0.3096683402
493	0.8642563681	0.3096085402
494	0.8642563681	0.3095518192
495	0.8647493837	0.3093084181
496	0.8655710764	0.3091230048
497	0.865735415	0.3089895902
498	0.865735415	0.3089666433
499	0.8662284306	0.3087520904
500	0.866064092	0.3085684412
501	0.8662284306	0.3082602875
502	0.8665571076	0.3081177843
503	0.866064092	0.3079825787
504	0.8668857847	0.3077718939
505	0.8668857847	0.307626011
506	0.8670501233	0.3074307718
507	0.8670501233	0.3072666683
508	0.8668857847	0.3071147957
509	0.8667214462	0.3070278502
510	0.8673788003	0.3068454139
511	0.8673788003	0.3066751381
512	0.8675431389	0.3065779636
513	0.8675431389	0.306481793
514	0.8675431389	0.3063162008
515	0.8675431389	0.3060880092
516	0.8678718159	0.305886399
517	0.8678718159	0.305777522
518	0.8680361545	0.3057291838
519	0.868200493	0.3055153462
520	0.868200493	0.305419071
521	0.8683648316	0.3053202694
522	0.8683648316	0.3052387511
523	0.8686935086	0.3050172733
524	0.8685291701	0.3048349914
525	0.8683648316	0.3047684131
526	0.8688578472	0.3046469523
527	0.8685291701	0.3045618149
528	0.8686935086	0.3044928422
529	0.8688578472	0.3043517012
530	0.8683648316	0.3040922907
531	0.8688578472	0.3039660513
532	0.8685291701	0.3037730977
533	0.8691865242	0.3036836766
534	0.8698438784	0.303488092
535	0.8698438784	0.3034168295
536	0.8696795399	0.3032402209
537	0.8698438784	0.3031778091
538	0.8701725555	0.3030465016
539	0.870336894	0.3028943269
540	0.870336894	0.3028329016
541	0.8706655711	0.3026635611
542	0.8701725555	0.3025695195
543	0.8701725555	0.3024015064
544	0.870336894	0.3022450128
545	0.870336894	0.302087999
546	0.8708299096	0.3019641724
547	0.8708299096	0.3016274467
548	0.8709942482	0.301343407
549	0.8714872638	0.301165544
550	0.8719802794	0.3010230598
551	0.8723089565	0.3008156448
552	0.8723089565	0.3007206978
